#taxaorder:SC_bor_L0063_COIF,SC_bor_L0899_COIF,SC_bor_L0117_ANOSCOIF,SC_bor_L0224_COI,SC_bor_L0086_COI,SC_bor_L1176_COIF,SC_bor_L1177_COIF,SC_int_B014_COI,SC_int_L1201_COIF,SC_int_L219_COIF,SC_int_L012_COIF,SC_int_L0217_COI,SC_int_B015_COI,SC_int_L214_COI,SC_int_L372_COI,SC_fas_B011_COI,SC_fas_L698_COI,SC_fas_L918_COI,SC_fas_L0629_COIF,SC_fas_L0650_COIF,SC_fas_L542_COI,SC_fas_L0951_COI,SC_fas_L541_COI,SC_fas_L0968_COIF,SC_fas_L626_COI,SC_fas_L259_COIF,SC_fas_L0544_COIF,SC_fas_L082_COI,SC_fas_L0936_COIF,SC_vit_L0613_COIF,SC_vit_L558_COI,SC_vit_L0750_COIF,SC_vit_L733_COIF,SC_vit_L100_COI,SC_vit_L208_COIF,SC_vit_L206_COIF,SC_vit_L209_COIF,SC_vit_L205_COIF,SC_vit_L207_COI,SC_vit_L197_COIF,SC_vit_L380_COI,SC_sco_B156_COI,SC_sco_B214,SC_sco_L905_COI,SC_sco_L0906_COIF,SC_dis_B022_COI,SC_dis_B023_COI,SC_dis_B024_COI,SC_dis_B025_COI,SC_dis_B026_COIF,SC_dis_B027_COIF,SC_dis_L236_COI,SC_dis_L264_COI,SC_dis_L242_COIF,SC_dis_L261_COIF,SC_dis_L260_COI,SC_dis_L263_COI,SC_dis_L262_COI,SC_dis_L265_COIF,SC_dis_L239_COIF,SC_dis_L237_COI,SC_jac_L546_COI,SC_pla_B136,SC_pla_B138,SC_pla_B137,SC_pla_B139,SC_pla_B135,SC_kne_B012_COI,SC_kne_L0857_COIF,SC_kne_L0866_COIF,SC_kne_L270_COIF,SC_kne_L363_COI,SC_kne_L365_COI,SC_kne_L361_COI,SC_nas_B016_COI,SC_nas_B019_COI,SC_nas_L1093_ANOSCOIF,SC_nas_L1100_ANOSCOIF,SC_nas_L1099_ANOSCOIF,SC_nas_L1066_COI,SC_nas_L1111_ANOSCOIF,SC_nas_L243_COI,SC_nas_L244_COIF,SC_nas_L245_COIF,SC_nas_B017_COI,SC_nas_B018_COI,SC_nas_L1178_FISHF,SC_nas_L1103_ANOSCOIF,SC_nas_L0926_COIF,SC_nas_L889_COI,SC_nas_L1179_COIF
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,13,11,11,11,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,17,1,1,1,1,1,1,14,14,15,15,15,15,15,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,15,13,13,13,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,14,12,12,5,5,5,5,5,5,5,5,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,15,15,15,15,16,16,7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,6,6,6,6,6,6,6,6,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
13,13,13,13,13,13,14,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,15,15,15,12,12,13,13,4,4,4,4,4,4,4,4,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,13,13,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,15,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,14,14,14,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,12,12,5,5,5,5,5,5,5,5,2,2,2,2,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,15,13,13,5,5,5,5,5,5,5,5,2,2,2,2,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10
14,14,14,14,14,14,15,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,11,11,5,5,5,5,5,5,5,5,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,15,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,14,14,14,14,14,14,15,15,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,1,1,1,1,1,1,3,3,3,3,3,3,3,14,14,14,14,14,14,14,15,15,15,7,7,7,7,7,7,8
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,15,16,5,5,5,5,5,5,5,5,2,2,2,2,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,14,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,13,13,4,4,4,4,4,4,4,4,1,1,1,1,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,15,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7
11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
11,11,11,11,11,11,12,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,1,1,1,1,1,1,3,3,3,3,3,3,3,15,15,15,15,15,15,15,16,16,16,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10
12,12,12,12,12,12,13,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,14,15,15,5,5,5,5,5,5,5,5,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
13,13,13,13,13,13,14,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,15,15,16,16,4,4,4,4,4,4,4,4,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,13,13,13,13,14,14,6
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,14,14,14,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,12,12,5,5,5,5,5,5,5,5,2,2,2,2,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
15,15,15,15,15,15,16,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,12,12,5,5,5,5,5,5,5,5,2,2,2,2,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,3,3,3,3,3,3,3,13,13,13,13,13,13,13,14,14,14,6,6,6,6,6,6,7
12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,13,13,5,5,5,5,5,5,5,5,2,2,2,2,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,3,3,3,3,3,3,3,14,14,14,14,14,14,14,15,15,15,6,6,6,6,6,6,7
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,13,13,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,15,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,2,2,2,2,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
11,11,11,11,11,11,12,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,14,14,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,14,14,5,5,5,5,5,5,5,5,2,2,2,2,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
